!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.155203583e-01   1.352191646e+00   5.691488605e+10   0.000000000e+00   1.030438662e-03   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.365048897e+00   1.694837801e+11   0.000000000e+00   3.068487906e-03   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.377906148e+00   4.724037275e+11   0.000000000e+00   8.552825076e-03   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.390763399e+00   1.232484291e+12   0.000000000e+00   2.231401222e-02   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.403620650e+00   3.009763508e+12   0.000000000e+00   5.449148537e-02   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.416477901e+00   6.879648585e+12   0.000000000e+00   1.245553909e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.429335152e+00   1.471916048e+13   0.000000000e+00   2.664890167e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.442192402e+00   2.947696248e+13   0.000000000e+00   5.336776346e-01   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.455049653e+00   5.525420312e+13   0.000000000e+00   1.000372153e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.467906904e+00   9.694620518e+13   0.000000000e+00   1.755201931e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.480764155e+00   1.592132512e+14   0.000000000e+00   2.882540945e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.493621406e+00   2.447431305e+14   0.000000000e+00   4.431051369e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.506478657e+00   3.521475842e+14   0.000000000e+00   6.375598907e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.519335907e+00   4.742658118e+14   0.000000000e+00   8.586537938e+00   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.532193158e+00   5.978632071e+14   0.000000000e+00   1.082425718e+01   1.000000002e-05   1.810490602e-14   2.207729393e-02
   5.155203583e-01   1.545050409e+00   7.054475650e+14   0.000000000e+00   1.302696425e+01   1.019957811e-05   1.846624029e-14   2.207729393e-02
   5.155203583e-01   1.557907660e+00   7.791311231e+14   0.000000000e+00   5.273737979e+03   3.738623413e-03   6.768742543e-12   2.207729393e-02
   5.155203583e-01   1.570764911e+00   8.054512689e+14   0.000000000e+00   1.458379280e+05   1.000080458e-01   1.810636268e-10   2.207729393e-02
   5.315224797e-01   5.707963268e-01   1.048443452e-72   0.000000000e+00   1.898197014e-86   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   5.985732319e-01   6.009953548e-68   0.000000000e+00   1.088096440e-81   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   6.263501370e-01   2.530254081e-63   0.000000000e+00   4.581001227e-77   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   6.541270421e-01   7.823913999e-59   0.000000000e+00   1.416512274e-72   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   6.819039472e-01   1.776850616e-54   0.000000000e+00   3.216971336e-68   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   7.096808524e-01   2.963771254e-50   0.000000000e+00   5.365879993e-64   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   7.374577575e-01   3.630825367e-46   0.000000000e+00   6.573575193e-60   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   7.652346626e-01   3.266878296e-42   0.000000000e+00   5.914652444e-56   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   7.930115677e-01   2.158874843e-38   0.000000000e+00   3.908622607e-52   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   8.207884728e-01   1.047825325e-34   0.000000000e+00   1.897077900e-48   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   8.485653779e-01   3.735228983e-31   0.000000000e+00   6.762596960e-45   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   8.763422830e-01   9.779406218e-28   0.000000000e+00   1.770552302e-41   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   9.041191882e-01   1.880505712e-24   0.000000000e+00   3.404637913e-38   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.315224797e-01   9.318960933e-01   2.655851222e-21   0.000000000e+00   4.808393670e-35   1.000000000e-05   1.810490599e-14   2.207729393e-02
