The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      33.1686       3.6273314     0.066058508
      33.1931       3.6348241     0.046455787
      33.2175       3.6424579     0.061562075
      33.2420       3.6501264     0.065783555
      33.2664       3.6575957     0.019884282
      33.2908       3.6646833     0.061446722
      33.3151       3.6710456     0.058544328
      33.3395       3.6762199       0.0000000
      33.3634       3.6796299    -0.010269992
      33.3874       3.6818587     0.037411341
      33.4117       3.6833839     0.042946146
      33.4359       3.6844661     0.033083945
      33.4601       3.6852882     0.014251733
      33.4843       3.6859552      0.11195481
      33.5085       3.6865295     0.072910437
      33.5321       3.6870362    0.0082338996
      33.5561       3.6875188     0.083681110
      33.5803       3.6879856      0.14731434
      33.6043       3.6884368      0.13221335
      33.6284       3.6888826      0.15305737
      33.6525       3.6893241      0.10202576
      33.6765       3.6897612      0.14499873
      33.7004       3.6901950      0.12338507
      33.7238       3.6906185      0.11228156
      33.7477       3.6910503    0.0074997002
      33.7717       3.6914831     0.019967012
      33.7956       3.6919130      0.12796700
      33.8195       3.6923414     0.011588451
      33.8434       3.6927675     0.043532452
      33.8665       3.6931758      0.44669437
      33.8903       3.6935903      0.24420966
      33.9142       3.6939962     0.089223873
      33.9379       3.6943818      0.38569823
      33.9617       3.6947409      0.29610909
      33.9855       3.6950532      0.12140674
      34.0086       3.6952823    0.0098876283
      34.0322       3.6953923    -0.030932343
      34.0559       3.6952944    -0.015624313
      34.0795       3.6948537     0.058446289
      34.1032       3.6938399     0.021270145
      34.1267       3.6919000       0.0000000
      34.1497       3.6887573     0.031072727
      34.1732       3.6846184     0.081011565
      34.1968       3.6798875     0.012202533
      34.1973       3.6797830     0.010456948
      34.2258       3.6736137    -0.029183762
      34.2542       3.6671911     0.074528894
