! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  1.2590000000e+02   4.7311930110e+01   7.6374542880e+00   1.6380513668e-06
  1.3340000000e+02   3.9874792535e+01   5.9582897054e+00   1.1917233962e-06
  1.4130000000e+02   2.9833518400e+01   4.6684230570e+00   6.8931548838e-07
  1.4960000000e+02   2.2995938269e+01   3.6629248101e+00   3.9112750702e-07
  1.5850000000e+02   1.9349569032e+01   2.8763664218e+00   7.4596871481e-08
  1.6790000000e+02   1.6738729759e+01   2.2631082072e+00  -1.1191006715e-07
  1.7780000000e+02   1.4639707488e+01   1.7828714921e+00  -3.0930821067e-07
  1.8840000000e+02   1.2873180486e+01   1.4059556132e+00  -4.2830568098e-07
  1.9950000000e+02   1.1358751693e+01   1.1095554515e+00  -5.4936552212e-07
  2.1130000000e+02   1.0045775219e+01   8.7642647990e-01  -6.2331282396e-07
  2.2390000000e+02   8.8997990637e+00   6.9259156520e-01  -6.9338746331e-07
  2.3710000000e+02   7.8961610468e+00   5.4769893165e-01  -7.3821774866e-07
  2.5120000000e+02   7.0140327335e+00   4.3329844790e-01  -7.7377959264e-07
  2.6610000000e+02   6.2365455910e+00   3.4293239983e-01  -7.9863145613e-07
  2.8180000000e+02   5.5505256783e+00   2.7152383420e-01  -8.1089931469e-07
  2.9850000000e+02   4.9446621249e+00   2.1506659275e-01  -8.2274807475e-07
